time pitch RMS intensity loudness noLaugh smallLaugh bigLaugh laughingAndSpeaking noGeste prep stroke retract
6.88 531.613 0.000120 14.771 1.605 1 0 0 0 1 0 0 0
6.92 533.891 0.000108 15.104 1.603 1 0 0 0 1 0 0 0
6.96 536.170 0.000117 16.881 1.601 1 0 0 0 1 0 0 0
7.00 538.448 0.000123 15.973 1.600 1 0 0 0 1 0 0 0
7.04 540.726 0.000177 24.809 1.659 1 0 0 0 1 0 0 0
7.08 544.557 0.009063 58.741 4.549 1 0 0 0 1 0 0 0
7.12 421.854 0.016079 55.298 8.284 1 0 0 0 1 0 0 0
7.16 239.651 0.008329 55.225 7.470 1 0 0 0 1 0 0 0
7.20 170.966 0.025979 65.219 11.615 1 0 0 0 1 0 0 0
7.24 182.458 0.036348 63.866 14.540 1 0 0 0 1 0 0 0
7.28 197.892 0.021326 56.402 11.456 1 0 0 0 1 0 0 0
7.32 197.344 0.010326 44.338 5.790 1 0 0 0 1 0 0 0
7.36 193.315 0.001156 29.457 3.283 1 0 0 0 1 0 0 0
7.40 190.259 0.000509 26.793 2.671 1 0 0 0 1 0 0 0
7.44 187.203 0.000318 21.734 2.158 1 0 0 0 1 0 0 0
7.48 184.147 0.000197 17.967 1.818 1 0 0 0 1 0 0 0
7.52 181.091 0.000140 16.052 1.661 1 0 0 0 1 0 0 0
7.56 178.035 0.000123 16.538 1.623 1 0 0 0 1 0 0 0
7.60 174.979 0.000143 17.605 1.648 1 0 0 0 1 0 0 0
7.64 171.924 0.000172 19.999 1.731 1 0 0 0 1 0 0 0
7.68 168.868 0.000190 21.846 1.869 1 0 0 0 1 0 0 0
7.72 165.812 0.000319 18.469 1.806 1 0 0 0 1 0 0 0
7.76 162.756 0.000210 20.578 1.811 1 0 0 0 1 0 0 0
7.80 159.700 0.000168 18.572 1.719 1 0 0 0 1 0 0 0
7.84 156.644 0.000188 18.716 1.694 1 0 0 0 1 0 0 0
7.88 153.588 0.000161 16.933 1.673 1 0 0 0 1 0 0 0
7.92 150.532 0.000136 16.576 1.637 1 0 0 0 1 0 0 0
7.96 147.476 0.000161 18.917 1.623 1 0 0 0 1 0 0 0
8.00 144.420 0.000150 15.254 1.610 1 0 0 0 1 0 0 0
8.04 141.364 0.000122 15.402 1.612 1 0 0 0 1 0 0 0
8.08 138.309 0.000127 16.589 1.622 1 0 0 0 1 0 0 0
8.12 135.253 0.000168 19.958 1.627 1 0 0 0 1 0 0 0
8.16 132.197 0.000197 25.490 1.665 1 0 0 0 1 0 0 0
8.20 127.059 0.008211 58.808 4.566 1 0 0 0 1 0 0 0
8.24 125.262 0.018378 61.157 10.656 1 0 0 0 1 0 0 0
8.28 128.859 0.023801 61.649 15.777 1 0 0 0 1 0 0 0
8.32 131.158 0.025145 61.822 16.278 1 0 0 0 1 0 0 0
8.36 133.615 0.027046 62.721 14.924 1 0 0 0 1 0 0 0
8.40 137.358 0.020331 55.872 10.572 1 0 0 0 1 0 0 0
8.44 140.005 0.007501 40.526 4.734 1 0 0 0 1 0 0 0
8.48 142.012 0.001067 34.557 2.774 1 0 0 0 1 0 0 0
8.52 144.019 0.000320 21.976 2.045 1 0 0 0 0 1 0 0
8.56 146.026 0.001254 34.856 2.215 1 0 0 0 0 1 0 0
8.60 149.401 0.008987 60.343 6.178 1 0 0 0 0 1 0 0
8.64 134.865 0.040377 66.319 17.806 1 0 0 0 0 1 0 0
8.68 126.115 0.020530 57.179 17.146 1 0 0 0 0 1 0 0
8.72 124.126 0.011653 54.344 15.020 1 0 0 0 0 1 0 0
8.76 133.143 0.009924 50.938 10.989 1 0 0 0 0 1 0 0
8.80 147.306 0.006342 54.380 10.215 1 0 0 0 0 1 0 0
8.84 156.719 0.022600 65.318 16.766 1 0 0 0 0 1 0 0
8.88 158.266 0.047107 66.723 23.050 1 0 0 0 0 1 0 0
8.92 158.136 0.031072 66.246 22.637 1 0 0 0 0 0 1 0
8.96 158.048 0.056226 68.836 31.100 1 0 0 0 0 0 0 1
9.00 157.841 0.038238 61.458 22.633 1 0 0 0 0 0 0 1
9.04 162.660 0.022888 64.142 18.889 1 0 0 0 0 0 0 1
9.08 169.256 0.048096 67.884 26.414 1 0 0 0 0 0 0 1
9.12 180.539 0.046036 65.750 28.520 1 0 0 0 0 0 0 1
9.16 202.660 0.026504 59.178 18.772 1 0 0 0 0 0 0 1
9.20 219.873 0.011624 47.397 8.477 1 0 0 0 0 0 0 1
9.24 241.821 0.007379 57.175 7.402 1 0 0 0 0 0 0 1
9.28 230.485 0.046069 70.460 20.786 1 0 0 0 0 0 0 1
9.32 211.469 0.078965 62.035 24.083 1 0 0 0 0 0 0 1
9.36 187.221 0.010547 55.518 15.495 0 0 1 0 1 0 0 0
9.40 189.409 0.011922 53.043 14.047 0 0 1 0 1 0 0 0
9.44 200.418 0.006365 48.770 10.870 0 0 1 0 1 0 0 0
9.48 208.766 0.005143 47.223 9.253 0 0 1 0 1 0 0 0
9.52 217.115 0.004014 43.605 7.855 0 0 1 0 1 0 0 0
9.56 225.463 0.003211 44.003 7.530 0 0 1 0 1 0 0 0
9.60 233.812 0.003894 49.291 7.812 0 0 1 0 1 0 0 0
9.64 247.850 0.037851 72.837 15.737 0 0 1 0 1 0 0 0
9.68 272.044 0.146020 78.330 46.566 0 0 1 0 1 0 0 0
9.72 272.828 0.145765 76.304 61.254 0 0 1 0 1 0 0 0
9.76 253.311 0.122811 63.902 44.830 0 0 1 0 1 0 0 0
9.80 238.065 0.010426 41.833 12.424 0 0 1 0 1 0 0 0
9.84 226.502 0.001581 34.056 5.932 0 0 1 0 1 0 0 0
9.88 214.940 0.000985 38.793 4.510 0 0 1 0 1 0 0 0
9.92 195.498 0.041513 71.684 14.337 0 0 1 0 1 0 0 0
9.96 195.677 0.062860 60.885 24.781 0 0 1 0 1 0 0 0
10.00 202.979 0.017286 41.099 11.037 0 0 1 0 1 0 0 0
10.04 208.516 0.001154 32.466 5.172 0 0 1 0 1 0 0 0
10.08 214.053 0.001107 38.851 4.044 0 0 1 0 1 0 0 0
10.12 223.364 0.046101 73.801 16.878 0 0 1 0 1 0 0 0
10.16 231.367 0.116503 76.778 42.699 0 0 1 0 1 0 0 0
10.20 226.763 0.118434 68.792 49.517 0 0 1 0 1 0 0 0
10.24 220.285 0.011370 41.658 12.507 0 0 1 0 1 0 0 0
10.28 215.372 0.001787 33.541 5.588 0 0 1 0 1 0 0 0
10.32 210.458 0.000788 36.313 3.895 0 0 1 0 1 0 0 0
10.36 202.197 0.017930 68.322 9.162 0 0 1 0 1 0 0 0
10.40 192.144 0.085042 72.624 31.763 0 0 1 0 1 0 0 0
10.44 190.138 0.058308 52.360 20.402 0 0 1 0 1 0 0 0
10.48 191.328 0.001963 34.028 6.116 0 0 1 0 1 0 0 0
10.52 192.231 0.001134 32.151 4.152 0 0 1 0 1 0 0 0
10.56 193.134 0.000622 32.475 3.082 0 0 1 0 1 0 0 0
10.60 194.652 0.024005 68.761 9.805 0 0 1 0 1 0 0 0
10.64 194.137 0.060820 67.599 26.621 0 0 1 0 1 0 0 0
10.68 193.081 0.022025 40.642 10.179 0 0 1 0 1 0 0 0
10.72 192.281 0.001261 30.522 3.939 0 0 1 0 1 0 0 0
10.76 191.481 0.000667 30.486 2.674 0 0 1 0 1 0 0 0
10.80 190.135 0.000506 42.398 2.734 0 0 1 0 1 0 0 0
10.84 204.462 0.018826 64.767 10.761 0 0 1 0 1 0 0 0
10.88 210.081 0.050197 66.348 24.714 0 0 1 0 1 0 0 0
10.92 208.805 0.027127 41.669 11.705 0 0 1 0 1 0 0 0
10.96 207.838 0.001276 27.854 3.938 0 0 1 0 1 0 0 0
11.00 206.870 0.000358 23.798 2.400 0 0 1 0 1 0 0 0
11.04 205.903 0.000327 32.170 2.109 1 0 0 0 1 0 0 0
11.08 204.276 0.010307 59.382 7.317 1 0 0 0 1 0 0 0
11.12 205.107 0.020183 56.238 14.297 1 0 0 0 1 0 0 0
11.16 206.508 0.003332 27.297 4.167 1 0 0 0 1 0 0 0
11.20 207.571 0.000453 24.817 2.251 1 0 0 0 1 0 0 0
11.24 208.634 0.000244 25.984 1.828 1 0 0 0 1 0 0 0
11.28 210.420 0.004091 54.003 3.529 1 0 0 0 1 0 0 0
11.32 196.568 0.022417 62.201 12.321 1 0 0 0 1 0 0 0
11.36 193.338 0.019658 46.220 10.279 1 0 0 0 1 0 0 0
11.40 196.784 0.000954 27.054 3.206 1 0 0 0 1 0 0 0
11.44 199.398 0.000830 38.603 2.528 1 0 0 0 1 0 0 0
11.48 203.794 0.011505 58.181 8.727 1 0 0 0 1 0 0 0
11.52 212.658 0.011634 52.374 11.750 1 0 0 0 1 0 0 0
11.56 219.623 0.008361 53.550 12.304 1 0 0 0 1 0 0 0
11.60 224.905 0.011534 57.236 13.552 1 0 0 0 1 0 0 0
11.64 233.787 0.020611 62.930 17.703 1 0 0 0 1 0 0 0
11.68 371.875 0.039539 63.785 22.321 1 0 0 0 1 0 0 0
11.72 413.492 0.021922 52.475 14.702 1 0 0 0 1 0 0 0
11.76 392.814 0.001404 34.422 4.314 1 0 0 0 1 0 0 0
11.80 377.132 0.001244 37.915 3.968 1 0 0 0 1 0 0 0
11.84 361.449 0.001927 45.933 4.513 1 0 0 0 1 0 0 0
11.88 345.767 0.062153 74.783 20.528 1 0 0 0 1 0 0 0
11.92 330.085 0.087631 62.908 26.975 1 0 0 0 1 0 0 0
11.96 314.403 0.004290 40.426 9.183 1 0 0 0 1 0 0 0
12.00 298.721 0.001683 36.102 5.791 0 1 0 0 1 0 0 0
12.04 283.038 0.001344 40.189 4.715 0 1 0 0 1 0 0 0
12.08 256.670 0.043210 74.042 14.543 0 1 0 0 1 0 0 0
12.12 243.400 0.131781 76.419 44.473 0 1 0 0 1 0 0 0
12.16 235.206 0.113362 65.112 40.205 0 1 0 0 1 0 0 0
12.20 228.760 0.005515 40.776 10.261 0 1 0 0 1 0 0 0
12.24 223.871 0.001505 36.363 5.016 0 1 0 0 1 0 0 0
12.28 215.651 0.001283 41.890 3.982 0 1 0 0 1 0 0 0
12.32 228.207 0.037873 71.232 14.335 0 1 0 0 1 0 0 0
12.36 246.964 0.068760 70.893 30.027 0 1 0 0 1 0 0 0
12.40 250.321 0.071694 69.030 37.049 0 1 0 0 1 0 0 0
12.44 248.398 0.015390 40.580 10.060 0 1 0 0 1 0 0 0
12.48 246.940 0.001432 28.752 3.837 0 1 0 0 1 0 0 0
12.52 245.481 0.000541 30.810 2.777 0 1 0 0 1 0 0 0
12.56 243.029 0.001083 51.608 3.729 0 1 0 0 1 0 0 0
12.60 268.145 0.023836 65.145 12.172 0 1 0 0 1 0 0 0
12.64 299.278 0.051976 70.075 23.439 0 1 0 0 1 0 0 0
12.68 293.799 0.068731 62.528 25.708 0 1 0 0 1 0 0 0
12.72 279.922 0.003288 36.473 6.545 0 1 0 0 1 0 0 0
12.76 269.397 0.000724 29.925 2.693 0 1 0 0 1 0 0 0
12.80 258.873 0.001212 42.744 3.021 0 1 0 0 1 0 0 0
12.84 248.349 0.006941 50.981 6.606 0 1 0 0 1 0 0 0
12.88 237.825 0.005691 48.789 8.313 0 1 0 0 1 0 0 0
12.92 227.301 0.006571 49.661 9.003 0 1 0 0 1 0 0 0
12.96 216.777 0.006362 50.600 8.949 0 1 0 0 1 0 0 0
13.00 199.081 0.008841 55.100 10.225 0 1 0 0 1 0 0 0
