time pitch RMS intensity loudness no speaking laughingAndSpeaking smallLaugh bigLaugh
13.76 254.756 0.001958 36.746 1.728 0 0 0 1 0
13.80 253.328 0.001786 41.835 1.991 0 0 0 1 0
13.84 251.900 0.002164 40.257 2.430 0 0 0 1 0
13.88 250.472 0.002259 38.601 2.460 0 0 0 1 0
13.92 249.044 0.001594 35.956 2.704 0 0 0 1 0
13.96 247.616 0.000893 30.998 1.840 0 0 0 1 0
14.00 246.188 0.000977 36.314 2.190 0 0 0 1 0
14.04 244.760 0.001283 34.993 2.024 0 0 0 1 0
14.08 243.332 0.000604 30.952 1.767 0 0 0 1 0
14.12 241.904 0.001198 41.913 1.917 0 0 0 1 0
14.16 240.476 0.009629 56.160 2.917 0 0 0 1 0
14.20 239.048 0.007080 43.796 3.356 0 0 0 1 0
14.24 237.620 0.002789 31.757 2.111 0 0 0 1 0
14.28 236.192 0.000932 33.981 1.909 0 0 0 1 0
14.32 234.764 0.001305 34.741 1.770 0 0 0 1 0
14.36 233.336 0.001030 37.176 1.784 0 0 0 1 0
14.40 231.908 0.002228 41.884 2.696 0 0 0 1 0
14.44 230.480 0.001466 33.911 2.046 0 0 0 1 0
14.48 229.052 0.000838 31.002 1.706 0 0 0 1 0
14.52 227.624 0.001490 39.948 1.647 0 0 0 1 0
14.56 226.196 0.002420 42.674 1.780 0 0 0 1 0
14.60 224.767 0.001499 32.135 1.690 0 0 0 1 0
14.64 223.339 0.001077 36.937 1.641 0 0 0 1 0
14.68 221.911 0.001881 40.385 2.691 0 0 0 1 0
14.72 220.483 0.001597 34.306 2.145 0 0 0 1 0
14.76 219.055 0.002398 43.770 1.979 0 0 0 1 0
14.80 217.627 0.001891 39.754 1.789 0 0 0 1 0
14.84 216.199 0.002837 43.989 1.795 0 0 0 1 0
14.88 214.771 0.003856 42.304 1.772 0 0 0 1 0
14.92 213.343 0.002509 41.562 2.919 0 0 0 1 0
14.96 211.915 0.001841 36.794 2.131 0 0 0 1 0
15.00 210.487 0.001574 39.858 1.903 0 0 0 1 0
15.04 209.059 0.003852 45.340 3.271 0 0 0 1 0
15.08 207.631 0.013458 52.885 7.959 0 0 0 1 0
15.12 205.839 0.004156 49.930 7.725 0 0 0 1 0
15.16 203.123 0.035689 70.738 18.409 0 0 0 1 0
15.20 208.500 0.099244 75.166 36.628 0 0 0 1 0
15.24 236.311 0.106630 74.141 49.515 0 0 0 1 0
15.28 257.759 0.113767 68.989 49.649 0 0 0 1 0
15.32 260.259 0.030682 45.425 11.199 0 0 0 1 0
15.36 261.692 0.001755 40.322 5.565 0 0 0 1 0
15.40 263.125 0.005137 39.145 4.491 0 0 0 1 0
15.44 264.558 0.001318 36.403 3.391 0 0 0 1 0
15.48 265.991 0.002116 43.213 3.873 0 0 0 1 0
15.52 267.424 0.002570 43.708 4.895 0 0 0 1 0
15.56 268.857 0.002751 40.030 4.680 0 0 0 1 0
15.60 270.290 0.001711 36.792 3.762 0 0 0 1 0
15.64 271.723 0.001829 35.733 3.550 0 0 0 1 0
15.68 273.156 0.001039 33.585 3.194 0 0 0 1 0
15.72 274.589 0.001911 40.529 3.170 0 0 0 1 0
15.76 276.022 0.001728 39.806 3.296 0 0 0 1 0
15.80 277.455 0.003188 43.534 3.253 0 0 0 1 0
15.84 278.888 0.002146 41.843 3.196 0 0 0 1 0
15.88 280.321 0.004051 44.159 3.230 0 0 0 1 0
15.92 281.754 0.001355 35.960 2.315 0 0 0 1 0
15.96 283.187 0.001256 33.550 1.747 0 0 0 1 0
16.00 284.620 0.001052 34.432 1.793 0 0 0 1 0
16.04 286.053 0.001233 35.066 1.766 0 0 0 1 0
16.08 287.486 0.001714 38.624 1.954 0 0 0 1 0
16.12 288.919 0.001271 37.593 2.241 0 0 0 1 0
16.16 290.352 0.002132 39.805 2.467 0 0 0 1 0
16.20 291.785 0.004521 47.835 3.073 0 0 0 1 0
16.24 293.218 0.004431 43.947 2.603 0 0 0 1 0
16.28 294.651 0.005290 51.098 2.678 0 0 0 1 0
16.32 296.084 0.006692 51.383 3.051 0 0 0 1 0
16.36 297.517 0.008069 51.626 2.700 0 0 0 1 0
16.40 298.950 0.003440 34.975 1.934 0 0 0 1 0
16.44 300.383 0.000877 31.342 1.680 0 0 0 1 0
16.48 301.816 0.000907 31.188 1.703 0 0 0 1 0
16.52 303.249 0.000702 29.452 1.654 0 0 0 1 0
16.56 304.681 0.000631 31.648 1.684 0 0 0 1 0
16.60 306.114 0.001196 35.105 1.803 0 0 0 1 0
16.64 307.913 0.001337 46.895 3.092 0 0 0 1 0
16.68 308.894 0.052304 68.959 18.623 0 0 0 1 0
16.72 304.948 0.026679 53.209 14.161 0 0 0 1 0
16.76 302.687 0.006241 50.477 9.569 0 0 0 1 0
16.80 300.425 0.006085 52.020 6.893 0 0 0 1 0
16.84 298.164 0.006289 51.659 6.971 0 0 0 1 0
16.88 295.902 0.008982 42.143 5.347 0 0 0 1 0
16.92 293.641 0.001475 30.133 2.210 0 0 0 1 0
16.96 291.379 0.001341 37.283 2.028 0 0 0 1 0
17.00 289.118 0.003088 38.138 2.141 0 0 0 1 0
17.04 286.856 0.000611 31.002 1.717 0 0 0 1 0
17.08 284.595 0.002259 45.465 2.886 0 0 0 1 0
17.12 282.333 0.007683 52.104 5.736 0 0 0 1 0
17.16 280.072 0.004670 47.852 6.678 0 0 0 1 0
17.20 277.810 0.012197 56.254 7.311 0 0 0 1 0
17.24 275.549 0.029137 60.492 14.350 0 0 0 1 0
17.28 272.710 0.014034 58.715 15.985 0 0 0 1 0
17.32 270.155 0.023931 56.733 14.205 0 0 0 1 0
17.36 272.938 0.004395 41.320 7.257 0 0 0 1 0
17.40 274.939 0.001864 43.397 4.609 0 0 0 1 0
17.44 269.103 0.015924 61.031 10.825 0 0 0 1 0
17.48 253.022 0.019003 61.639 16.910 0 0 0 1 0
17.52 278.911 0.031596 60.397 18.005 0 0 0 1 0
17.56 288.568 0.007476 43.745 8.547 0 0 0 1 0
17.60 295.514 0.002880 43.877 5.274 0 0 0 1 0
17.64 285.337 0.016040 61.431 8.895 0 0 0 1 0
17.68 246.630 0.015810 58.967 13.881 0 0 0 1 0
