time pitch RMS intensity loudness no speaking laughingAndSpeaking smallLaugh bigLaugh
5.84 258.611 0.000154 16.288 1.644 1 0 0 0 0
5.88 262.296 0.000116 14.222 1.611 1 0 0 0 0
5.92 265.980 0.000104 14.319 1.603 1 0 0 0 0
5.96 269.665 0.000097 12.852 1.601 1 0 0 0 0
6.00 273.349 0.000095 13.517 1.600 1 0 0 0 0
6.04 277.034 0.000100 13.920 1.601 1 0 0 0 0
6.08 280.718 0.000117 14.381 1.600 1 0 0 0 0
6.12 284.403 0.000105 21.200 1.600 1 0 0 0 0
6.16 288.939 0.003273 51.848 1.622 1 0 0 0 0
6.20 305.063 0.011783 60.955 3.952 0 0 0 0 1
6.24 339.137 0.034664 65.104 12.233 0 0 0 0 1
6.28 328.418 0.025249 56.480 12.616 0 0 0 0 1
6.32 296.192 0.007256 48.250 9.134 0 0 0 0 1
6.36 277.972 0.009456 53.592 11.301 0 0 0 0 1
6.40 255.538 0.008516 55.819 11.942 0 0 0 0 1
6.44 228.589 0.076802 76.799 24.452 0 0 0 0 1
6.48 232.652 0.154495 69.245 41.433 0 0 0 0 1
6.52 234.949 0.019419 50.549 16.210 0 0 0 0 1
6.56 237.246 0.009528 54.517 13.917 0 0 0 0 1
6.60 239.544 0.010310 57.357 13.425 0 0 0 0 1
6.64 242.372 0.041759 72.812 19.416 0 0 0 0 1
6.68 244.415 0.146207 71.699 47.162 0 0 0 0 1
6.72 238.718 0.022247 46.968 16.473 0 0 0 0 1
6.76 235.497 0.007848 49.496 11.752 0 0 0 0 1
6.80 232.276 0.004782 47.993 9.154 0 0 0 0 1
6.84 229.056 0.008171 55.073 10.042 0 0 0 0 1
6.88 225.835 0.006122 48.250 8.870 0 0 0 0 1
6.92 222.614 0.005327 48.839 9.532 0 0 0 0 1
6.96 218.648 0.006765 54.922 9.697 0 0 0 0 1
7.00 211.297 0.045803 71.269 19.365 0 0 0 0 1
7.04 202.956 0.085815 62.246 30.910 0 0 0 0 1
7.08 201.560 0.005051 41.883 10.514 0 0 0 0 1
7.12 200.770 0.003349 44.924 7.584 0 0 0 0 1
7.16 199.798 0.003562 47.873 6.742 0 0 0 0 1
7.20 197.748 0.026575 69.050 14.160 0 0 0 0 1
