time pitch RMS intensity loudness noLaugh smallLaugh bigLaugh laughingAndSpeaking noGeste prep stroke retract
6.24 211.462 0.011222 54.045 7.064 1 0 0 0 1 0 0 0
6.28 199.015 0.007558 46.630 6.310 1 0 0 0 1 0 0 0
6.32 191.251 0.003258 37.075 6.002 1 0 0 0 1 0 0 0
6.36 183.487 0.000827 38.593 3.769 1 0 0 0 1 0 0 0
6.40 172.642 0.002504 49.483 4.706 1 0 0 0 1 0 0 0
6.44 159.733 0.012527 57.016 8.376 1 0 0 0 1 0 0 0
6.48 152.114 0.014297 56.254 11.441 1 0 0 0 1 0 0 0
6.52 147.600 0.005610 31.478 3.864 1 0 0 0 1 0 0 0
6.56 144.785 0.002249 40.119 4.357 1 0 0 0 1 0 0 0
6.60 141.970 0.001643 40.791 4.201 1 0 0 0 1 0 0 0
6.64 139.155 0.002929 43.844 4.505 1 0 0 0 1 0 0 0
6.68 135.222 0.005192 52.054 5.923 1 0 0 0 1 0 0 0
6.72 131.610 0.008607 46.896 6.732 1 0 0 0 1 0 0 0
6.76 131.175 0.001725 28.119 2.397 1 0 0 0 1 0 0 0
6.80 130.795 0.001312 51.005 3.861 1 0 0 0 1 0 0 0
6.84 129.736 0.012993 57.788 9.715 1 0 0 0 1 0 0 0
6.88 127.898 0.020057 61.164 14.327 1 0 0 0 1 0 0 0
6.92 126.162 0.022100 60.164 16.514 1 0 0 0 1 0 0 0
6.96 124.806 0.017321 57.449 15.448 1 0 0 0 1 0 0 0
7.00 123.878 0.014212 56.211 14.806 1 0 0 0 1 0 0 0
7.04 122.898 0.012744 55.952 14.492 1 0 0 0 1 0 0 0
7.08 121.561 0.011642 54.889 13.650 1 0 0 0 1 0 0 0
7.12 120.562 0.010732 54.452 12.941 1 0 0 0 1 0 0 0
7.16 120.416 0.010144 54.166 12.521 1 0 0 0 1 0 0 0
7.20 121.100 0.009178 52.698 11.553 1 0 0 0 1 0 0 0
7.24 122.561 0.008224 51.421 10.103 1 0 0 0 1 0 0 0
7.28 123.834 0.007632 51.803 9.595 1 0 0 0 1 0 0 0
7.32 132.569 0.008234 53.269 9.981 1 0 0 0 1 0 0 0
7.36 146.214 0.009069 52.156 10.146 1 0 0 0 1 0 0 0
7.40 150.330 0.006155 39.308 5.549 1 0 0 0 1 0 0 0
7.44 152.898 0.001621 37.799 2.196 1 0 0 0 1 0 0 0
7.48 155.465 0.001464 34.099 1.743 1 0 0 0 1 0 0 0
